QuickSort
n;t(n)
219.0;0.0001669
930.0;0.0011844
999.0;0.0011826
2205.0;0.0030107
2368.0;0.0030826
3626.0;0.0051656
3827.0;0.0057211
4694.0;0.0070887
5066.0;0.0085973
5853.0;0.0100151
5923.0;0.0088754
6154.0;0.0092128
6546.0;0.0103427
6927.0;0.0111904
7065.0;0.0110214
8341.0;0.0128488
8401.0;0.0146017
8987.0;0.014685
9384.0;0.0148567
9522.0;0.0154399
9995.0;0.0169633
10166.0;0.0161038
11452.0;0.0189057
11792.0;0.026068
12428.0;0.0208889
12990.0;0.0229437
13009.0;0.0208765
13699.0;0.0241938
14271.0;0.0245688
14329.0;0.0234895
14975.0;0.0327994
15658.0;0.0270702
16080.0;0.0285196
16180.0;0.0264837
16345.0;0.0282239
16538.0;0.030937
17489.0;0.0319852
17543.0;0.0307197
19195.0;0.034807
19207.0;0.0351872
19440.0;0.0335133
19799.0;0.0370541
19925.0;0.0417767
20122.0;0.0356042
20179.0;0.0461958
20258.0;0.0403846
21192.0;0.0367055
21201.0;0.0401588
21972.0;0.0392231
22162.0;0.0401018
24680.0;0.0616751
25162.0;0.0447137
25202.0;0.0455315
25454.0;0.0418908
25477.0;0.0510862
25546.0;0.0514223
25850.0;0.0441814
26846.0;0.0490684
28241.0;0.0719012
30181.0;0.0566758
30836.0;0.0640382
31828.0;0.0599879
32068.0;0.0698893
32083.0;0.0624756
32156.0;0.0575985
32416.0;0.0586426
33028.0;0.0639736
33135.0;0.0559593
33529.0;0.0604088
33726.0;0.0625612
34482.0;0.0656275
35301.0;0.0690134
36238.0;0.0644424
36849.0;0.0695204
37322.0;0.083754
37605.0;0.0707416
38186.0;0.0715542
38370.0;0.0709004
39260.0;0.0812323
39286.0;0.0761653
39386.0;0.0802173
40067.0;0.0767931
42110.0;0.0785
42188.0;0.0844
42291.0;0.0827453
42591.0;0.081271
42710.0;0.0825548
43259.0;0.0877096
43678.0;0.0924953
43707.0;0.086752
43874.0;0.0881844
44475.0;0.0911294
45069.0;0.0910001
46109.0;0.0853607
46207.0;0.0862288
46942.0;0.0861861
47037.0;0.0896156
47231.0;0.0891646
48333.0;0.0976367
48972.0;0.0944946
49723.0;0.1001392
49786.0;0.0996442
50172.0;0.0992697
51484.0;0.1085989
52414.0;0.1205292
53622.0;0.1083388
53672.0;0.1025017
54693.0;0.1077586
55099.0;0.1107256
55385.0;0.1112595
55659.0;0.1108043
56002.0;0.1268747
56704.0;0.1191102
56941.0;0.1088753
57254.0;0.1383917
58217.0;0.1229994
58288.0;0.1109655
58338.0;0.1143004
59186.0;0.1236755
59363.0;0.1227725
60017.0;0.1173097
60626.0;0.1240494
62270.0;0.1220516
62933.0;0.1205875
63917.0;0.1379628
64840.0;0.1338446
65355.0;0.1357328
65530.0;0.1390092
65640.0;0.1275762
66138.0;0.1252411
66374.0;0.1363051
66585.0;0.1465732
67053.0;0.1271563
67128.0;0.1441411
67434.0;0.1472089
67600.0;0.1563397
68476.0;0.137995
68713.0;0.1621611
69399.0;0.1451801
69774.0;0.153762
70097.0;0.1456738
70188.0;0.1397368
70229.0;0.1533268
70398.0;0.1342511
71673.0;0.14486
72164.0;0.1627739
72713.0;0.1533123
72724.0;0.1916678
72938.0;0.14784
73743.0;0.1721091
73923.0;0.1537428
75266.0;0.1568426
75761.0;0.1571109
76390.0;0.1850189
76435.0;0.1574599
76517.0;0.1550279
76872.0;0.1597444
77014.0;0.1768111
77724.0;0.1692037
78397.0;0.1607469
78830.0;0.1598593
78985.0;0.1654416
79997.0;0.227347
