index,algorithm,n,time_mean,time_std
0,QuickSort (worst),100,0.0012925000010000076,0.0
1,QuickSort (worst),107,0.0016447999987576623,0.0
2,QuickSort (worst),114,0.0017310000002908055,0.0
3,QuickSort (worst),123,0.0016881000010471325,0.0
4,QuickSort (worst),132,0.0017654000002949033,0.0
5,QuickSort (worst),141,0.0019738999999390217,0.0
6,QuickSort (worst),151,0.0008789000003162073,0.0
7,QuickSort (worst),162,0.0009934999998222338,0.0
8,QuickSort (worst),174,0.0011395000001357403,0.0
9,QuickSort (worst),187,0.001438500001313514,0.0
10,QuickSort (worst),200,0.0015041999995446531,0.0
11,QuickSort (worst),215,0.0017269999989366625,0.0
12,QuickSort (worst),231,0.004656600000089384,0.0
13,QuickSort (worst),247,0.005828800000017509,0.0
14,QuickSort (worst),265,0.006660500001089531,0.0
15,QuickSort (worst),284,0.0033208000004378846,0.0
16,QuickSort (worst),305,0.003367600000274251,0.0
17,QuickSort (worst),327,0.003960700001698569,0.0
18,QuickSort (worst),351,0.004496400000789436,0.0
19,QuickSort (worst),376,0.005420199999207398,0.0
20,QuickSort (worst),403,0.006099799998992239,0.0
21,QuickSort (worst),432,0.0070630000009259675,0.0
22,QuickSort (worst),464,0.020634200000131386,0.0
23,QuickSort (worst),497,0.0130726000006689,0.0
24,QuickSort (worst),533,0.02629460000025574,0.0
25,QuickSort (worst),572,0.03211639999972249,0.0
26,QuickSort (worst),613,0.027323899999828427,0.0
27,QuickSort (worst),657,0.02959540000119887,0.0
28,QuickSort (worst),705,0.04205719999845314,0.0
29,QuickSort (worst),756,0.02849860000060289,0.0
30,QuickSort (worst),811,0.04596069999934116,0.0
31,QuickSort (worst),869,0.06190390000119805,0.0
32,QuickSort (worst),932,0.07108380000136094,0.0
33,QuickSort (worst),999,0.0766596000012214,0.0
34,QuickSort (worst),1072,0.05036379999910423,0.0
35,QuickSort (worst),1149,0.07638760000008915,0.0
36,QuickSort (worst),1232,0.10588839999945776,0.0
37,QuickSort (worst),1321,0.10287880000032601,0.0
38,QuickSort (worst),1417,0.19238179999956628,0.0
39,QuickSort (worst),1519,0.13997199999903387,0.0
40,QuickSort (worst),1629,0.20368220000091242,0.0
41,QuickSort (worst),1747,0.1968507999990834,0.0
42,QuickSort (worst),1873,0.21124109999982466,0.0
43,QuickSort (worst),2009,0.24596219999875757,0.0
44,QuickSort (worst),2154,0.29584090000025753,0.0
45,QuickSort (worst),2310,0.39355109999996785,0.0
46,QuickSort (worst),2477,0.38233969999964756,0.0
47,QuickSort (worst),2656,0.39104389999920386,0.0
48,QuickSort (worst),2848,0.5692499999986467,0.0
49,QuickSort (worst),3053,0.6754423000002134,0.0
50,QuickSort3Way (worst),100,0.0004506999994191574,0.0
51,QuickSort3Way (worst),107,0.0005044999998062849,0.0
52,QuickSort3Way (worst),114,0.0003274000009696465,0.0
53,QuickSort3Way (worst),123,0.00045839999984309543,0.0
54,QuickSort3Way (worst),132,0.0005077000005258014,0.0
55,QuickSort3Way (worst),141,0.000629599999228958,0.0
56,QuickSort3Way (worst),151,0.0002347999998164596,0.0
57,QuickSort3Way (worst),162,0.0002573000001575565,0.0
58,QuickSort3Way (worst),174,0.0002841000004991656,0.0
59,QuickSort3Way (worst),187,0.00031769999986863695,0.0
60,QuickSort3Way (worst),200,0.00034419999974488746,0.0
61,QuickSort3Way (worst),215,0.0003876999999192776,0.0
62,QuickSort3Way (worst),231,0.0011230000000068685,0.0
63,QuickSort3Way (worst),247,0.0012225999998918269,0.0
64,QuickSort3Way (worst),265,0.0012671000004047528,0.0
65,QuickSort3Way (worst),284,0.0005790000013803365,0.0
66,QuickSort3Way (worst),305,0.0006512999989354284,0.0
67,QuickSort3Way (worst),327,0.00073069999962172,0.0
68,QuickSort3Way (worst),351,0.0008166999996319646,0.0
69,QuickSort3Way (worst),376,0.0009074999998119893,0.0
70,QuickSort3Way (worst),403,0.0010051999997813255,0.0
71,QuickSort3Way (worst),432,0.0011950000007345807,0.0
72,QuickSort3Way (worst),464,0.003177799999320996,0.0
73,QuickSort3Way (worst),497,0.001392100000884966,0.0
