algorithm,n,m,time,type
QuickSort,100,100000,0.00011059999997087289,Variazione n
QuickSort3Way,100,100000,0.00024339999981748406,Variazione n
CountingSort,100,100000,0.01105470000038622,Variazione n
RadixSort,100,100000,0.00012789999891538173,Variazione n
QuickSort,107,100000,0.00014860000010230578,Variazione n
QuickSort3Way,107,100000,0.00022949999947741162,Variazione n
CountingSort,107,100000,0.005050600000686245,Variazione n
RadixSort,107,100000,2.89999989036005e-05,Variazione n
QuickSort,114,100000,7.279999954334926e-05,Variazione n
QuickSort3Way,114,100000,0.00010660000043571927,Variazione n
CountingSort,114,100000,0.0038686999996571103,Variazione n
RadixSort,114,100000,6.889999895065557e-05,Variazione n
QuickSort,123,100000,7.700000060140155e-05,Variazione n
QuickSort3Way,123,100000,0.00010170000132347923,Variazione n
CountingSort,123,100000,0.0037675000003218884,Variazione n
RadixSort,123,100000,7.32000007701572e-05,Variazione n
QuickSort,132,100000,8.429999979853164e-05,Variazione n
QuickSort3Way,132,100000,0.00011780000022554304,Variazione n
CountingSort,132,100000,0.004076400000485592,Variazione n
RadixSort,132,100000,0.00010160000056202989,Variazione n
QuickSort,141,100000,8.780000098340679e-05,Variazione n
QuickSort3Way,141,100000,0.00012880000031145755,Variazione n
CountingSort,141,100000,0.004299799998989329,Variazione n
RadixSort,141,100000,9.109999882639386e-05,Variazione n
QuickSort,151,100000,0.0001033000007737428,Variazione n
QuickSort3Way,151,100000,0.0001399000011588214,Variazione n
CountingSort,151,100000,0.0037492000010388438,Variazione n
RadixSort,151,100000,8.790000174485613e-05,Variazione n
QuickSort,162,100000,9.410000166099053e-05,Variazione n
QuickSort3Way,162,100000,0.00013749999925494194,Variazione n
CountingSort,162,100000,0.00428979999924195,Variazione n
RadixSort,162,100000,0.0001785000004019821,Variazione n
QuickSort,174,100000,7.759999971312936e-05,Variazione n
QuickSort3Way,174,100000,0.0002630000017234124,Variazione n
CountingSort,174,100000,0.004153399999268004,Variazione n
RadixSort,174,100000,7.349999941652641e-05,Variazione n
QuickSort,187,100000,0.00011610000001383014,Variazione n
QuickSort3Way,187,100000,0.00019500000053085387,Variazione n
CountingSort,187,100000,0.005667000001267297,Variazione n
RadixSort,187,100000,0.00031990000024961773,Variazione n
QuickSort,200,100000,0.0003082000002905261,Variazione n
QuickSort3Way,200,100000,0.0004365999993751757,Variazione n
CountingSort,200,100000,0.008894399999917368,Variazione n
RadixSort,200,100000,0.00023879999935161322,Variazione n
QuickSort,215,100000,0.0003141999986837618,Variazione n
QuickSort3Way,215,100000,0.0004970999998477055,Variazione n
CountingSort,215,100000,0.008888199998182245,Variazione n
RadixSort,215,100000,0.0002600999978312757,Variazione n
QuickSort,231,100000,0.0003668999979709042,Variazione n
QuickSort3Way,231,100000,0.0005237999976088759,Variazione n
CountingSort,231,100000,0.008786899999904563,Variazione n
RadixSort,231,100000,0.0002724999994825339,Variazione n
QuickSort,247,100000,0.000377200000002631,Variazione n
QuickSort3Way,247,100000,0.0006220000013854587,Variazione n
CountingSort,247,100000,0.009065000000191503,Variazione n
RadixSort,247,100000,0.0002941999991890043,Variazione n
QuickSort,265,100000,0.0004237000011926284,Variazione n
QuickSort3Way,265,100000,0.0007083000000420725,Variazione n
CountingSort,265,100000,0.008600000001024455,Variazione n
RadixSort,265,100000,0.00030160000096657313,Variazione n
QuickSort,284,100000,5.800000508315861e-06,Variazione n
QuickSort3Way,284,100000,0.0001391000005241949,Variazione n
CountingSort,284,100000,0.003627400001278147,Variazione n
RadixSort,284,100000,-5.2800000048591755e-05,Variazione n
QuickSort,305,100000,0.000227999998969608,Variazione n
QuickSort3Way,305,100000,0.0003488000002107583,Variazione n
CountingSort,305,100000,0.0038308999992295867,Variazione n
RadixSort,305,100000,0.00015829999938432593,Variazione n
QuickSort,327,100000,0.00024120000125549268,Variazione n
QuickSort3Way,327,100000,0.00034950000008393545,Variazione n
CountingSort,327,100000,0.003803199999310891,Variazione n
RadixSort,327,100000,0.00017080000179703347,Variazione n
QuickSort,351,100000,0.0002778999987640418,Variazione n
QuickSort3Way,351,100000,0.00036699999873235356,Variazione n
CountingSort,351,100000,0.005842399998073233,Variazione n
RadixSort,351,100000,0.0005947999998170417,Variazione n
QuickSort,376,100000,0.000710700001945952,Variazione n
QuickSort3Way,376,100000,0.0011190999994141748,Variazione n
CountingSort,376,100000,0.008997299999464303,Variazione n
RadixSort,376,100000,0.00021800000104121864,Variazione n
QuickSort,403,100000,0.0003863000001729233,Variazione n
QuickSort3Way,403,100000,0.00043929999810643494,Variazione n
CountingSort,403,100000,0.003930499999114545,Variazione n
RadixSort,403,100000,0.00022009999884176068,Variazione n
QuickSort,432,100000,0.00037010000050941017,Variazione n
QuickSort3Way,432,100000,0.0005342000022210414,Variazione n
CountingSort,432,100000,0.003920600001947605,Variazione n
RadixSort,432,100000,0.0002406999992672354,Variazione n
QuickSort,464,100000,0.00038300000051094685,Variazione n
QuickSort3Way,464,100000,0.0005682999999407912,Variazione n
CountingSort,464,100000,0.004482100001041545,Variazione n
RadixSort,464,100000,0.0003277000014350051,Variazione n
QuickSort,497,100000,0.0003834000017377548,Variazione n
QuickSort3Way,497,100000,0.0005615999998553889,Variazione n
